timestamp_utc,price_usd_per_mwh
2026-07-01T08:00:00+00:00,21.01
2026-07-01T09:00:00+00:00,20.76
2026-07-01T10:00:00+00:00,20.24
2026-07-01T11:00:00+00:00,20.21
2026-07-01T12:00:00+00:00,20.12
2026-07-01T13:00:00+00:00,18.68
2026-07-01T14:00:00+00:00,1.58
2026-07-01T15:00:00+00:00,-0.96
2026-07-01T16:00:00+00:00,-1.93
2026-07-01T17:00:00+00:00,-1.45
2026-07-01T18:00:00+00:00,-1.02
2026-07-01T19:00:00+00:00,-1.04
2026-07-01T20:00:00+00:00,-1
2026-07-01T21:00:00+00:00,-0.04
2026-07-01T22:00:00+00:00,-0.71
2026-07-01T23:00:00+00:00,0.26
2026-07-02T00:00:00+00:00,2.81
2026-07-02T01:00:00+00:00,18.32
2026-07-02T02:00:00+00:00,24.08
2026-07-02T03:00:00+00:00,24.75
2026-07-02T04:00:00+00:00,24.99
2026-07-02T05:00:00+00:00,22.68
2026-07-02T06:00:00+00:00,22.19
2026-07-02T07:00:00+00:00,31.2
2026-07-02T08:00:00+00:00,30.77
2026-07-02T09:00:00+00:00,29.97
2026-07-02T10:00:00+00:00,30.04
2026-07-02T11:00:00+00:00,29.78
2026-07-02T12:00:00+00:00,30.24
2026-07-02T13:00:00+00:00,29.93
2026-07-02T14:00:00+00:00,5.44
2026-07-02T15:00:00+00:00,-1
2026-07-02T16:00:00+00:00,-1.49
2026-07-02T17:00:00+00:00,-0.44
2026-07-02T18:00:00+00:00,-0.3
2026-07-02T19:00:00+00:00,-0.31
2026-07-02T20:00:00+00:00,0.01
2026-07-02T21:00:00+00:00,0.25
2026-07-02T22:00:00+00:00,0.49
2026-07-02T23:00:00+00:00,2.5
2026-07-03T00:00:00+00:00,7.26
2026-07-03T01:00:00+00:00,27.05
2026-07-03T02:00:00+00:00,29.38
2026-07-03T03:00:00+00:00,29.45
2026-07-03T04:00:00+00:00,29.17
2026-07-03T05:00:00+00:00,28.58
2026-07-03T06:00:00+00:00,28.6
2026-07-03T07:00:00+00:00,29.3
2026-07-03T08:00:00+00:00,29.04
2026-07-03T09:00:00+00:00,27.71
2026-07-03T10:00:00+00:00,27.31
2026-07-03T11:00:00+00:00,27.13
2026-07-03T12:00:00+00:00,26.67
2026-07-03T13:00:00+00:00,22.22
2026-07-03T14:00:00+00:00,2.09
2026-07-03T15:00:00+00:00,1.15
2026-07-03T16:00:00+00:00,1.1
2026-07-03T17:00:00+00:00,1.9
2026-07-03T18:00:00+00:00,0.91
2026-07-03T19:00:00+00:00,1
2026-07-03T20:00:00+00:00,1.29
2026-07-03T21:00:00+00:00,1.86
2026-07-03T22:00:00+00:00,6.29
2026-07-03T23:00:00+00:00,9.53
2026-07-04T00:00:00+00:00,16.09
2026-07-04T01:00:00+00:00,29.66
2026-07-04T02:00:00+00:00,31.48
2026-07-04T03:00:00+00:00,33.98
2026-07-04T04:00:00+00:00,30.77
2026-07-04T05:00:00+00:00,29.45
2026-07-04T06:00:00+00:00,29.75
2026-07-04T07:00:00+00:00,28.93
2026-07-04T08:00:00+00:00,28.5
2026-07-04T09:00:00+00:00,28.47
2026-07-04T10:00:00+00:00,26.65
2026-07-04T11:00:00+00:00,26.68
2026-07-04T12:00:00+00:00,25.76
2026-07-04T13:00:00+00:00,19.11
2026-07-04T14:00:00+00:00,9.61
2026-07-04T15:00:00+00:00,8.59
2026-07-04T16:00:00+00:00,7.44
2026-07-04T17:00:00+00:00,8.39
2026-07-04T18:00:00+00:00,8.71
2026-07-04T19:00:00+00:00,9.45
2026-07-04T20:00:00+00:00,9.71
2026-07-04T21:00:00+00:00,11.98
2026-07-04T22:00:00+00:00,18.09
